Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p10176,-0.222516,2.39491,5.29657,-1.98191,-2.78893,-3.02157,1.98907,2.17264
p10177,1.2673,-0.0216472,-0.864913,-0.401288,-0.0370378,0.0442331,-0.471337,0.36159
p10178,-0.78988,0.161784,0.777083,-0.31764,-0.656238,-0.810339,-0.95208,-0.657877
p10179,-1.05194,1.97394,0.804839,0.858191,-1.56899,2.67095,1.02738,-0.404895
p1018,-0.0250506,-0.500589,0.681751,0.487057,-0.975554,-0.746976,0.0156188,1.64428
p10180,-0.585313,-0.778198,0.331546,0.745232,0.814286,-0.0968695,0.637718,-0.241886
p10181,-1.16754,0.815973,-0.925569,0.431173,-0.0865102,0.164206,-0.0929853,0.533298
p10182,1.00693,-0.362931,-0.688852,0.114754,0.377746,0.296915,0.246619,-0.0483637
p10183,1.97894,2.4682,-1.46039,-1.65052,0.788987,2.1172,-2.53091,0.673891
p10184,1.17239,3.09295,1.95165,-2.68549,2.75771,1.34672,0.440931,-2.05602
p10185,-2.13914,2.27393,1.8178,-1.74229,0.76586,-0.915646,4.27704,-0.713632
p10186,1.47169,3.95414,-1.7004,-2.56558,-0.411836,-0.181298,3.43953,0.720578
p10187,0.00225175,1.64269,0.348211,-1.80753,0.787177,-0.0183792,3.25823,-0.719465
p10188,0.411787,1.11448,0.100156,2.36455,-1.40893,0.695039,1.32991,1.51829
p10189,1.99247,-1.18891,-0.202271,-0.0408972,0.0103297,-0.0372597,-0.361961,-0.0941737
p1019,-1.27779,2.68439,-1.90424,0.422455,-0.8475,0.476729,-1.17786,1.17493
p10190,0.234586,0.165525,-0.101008,-1.01177,0.147245,-1.09071,0.27385,1.05935
p10191,-0.0386004,0.374029,-1.24399,-0.168171,1.15622,0.012707,-0.467464,-0.382508
p10192,-0.963294,2.2592,0.966133,0.133502,-2.75605,2.76333,-1.47051,-2.06783
p10193,1.04112,0.742119,4.14537,2.45249,1.17167,0.105029,-0.71376,0.0690423
p10194,0.66361,0.0500688,-0.900168,-0.168455,0.550135,0.681239,-0.0715298,-0.103104
p10195,-1.14808,2.34128,3.98941,-2.58478,1.74265,-2.26679,-0.79409,0.322672
p10196,0.588615,0.223231,-0.706908,-0.931583,1.73945,-0.210335,-0.0423396,-0.0924344
p10197,0.538046,2.31223,0.98285,2.51943,5.30021,-0.258978,-5.81245,2.12412
p10198,-1.14951,0.211944,-1.11415,0.563247,0.58342,-0.600001,-0.351613,0.401779
p10199,0.146271,-0.444489,1.40342,-0.975368,-0.948652,-0.616736,0.218234,1.10016
